mbid,artist,bio,listeners,playcount,similar_artist
e2e593af-0b56-4a12-90fd-53611e14abcd,DELLAFUENTE,"Artista, que no rapero, under-underground granaíno.

Dellafuente empezó distribuyendo su música en YouTube, en donde ganó fama y tracción desde 2012. Más tarde sus colaboraciones con otros artistas de la escena del trap como Yung Beef y C. Tangana lo catapultaron al éxito nacional, aunque él siempre ha sido muy propio, lo cual se puede ver en su música, difícil de catalogar en un único género.

A donde va llena las salas, y no es de extrañar Read more on Last.fm",130949,5509499,Cruz Cafuné
d351ae75-1ceb-49fe-a188-bd7ae55902a1,AVA,"There are many artists sharing this name.

(1) AVA - Éabha McMahon (pronounced AY-va) is a contralto Irish singer and a former member of the ensemble Celtic Woman. In 2020 she began recording music under the name AVA.

(2) ava - Indie rock band founded in Lafayette, Indiana in 2001. Original band members include Rob Soden (Rob Banks), Kalli Scheffen (Kalli Fox), Brad Threlkeld (B-rad), Dave Evans, later replaced by Jon Sommer (Jonny Magic). Ava's music has been featured on NPR as well as motion pictures. Read more on Last.fm",72975,1104127,Nabi
25b7b584-d952-4662-a8b9-dd8cdfbfeb64,A$AP Rocky,"Rakim Athelston Mayers (born October 3, 1988), known professionally as ASAP Rocky (stylized as A$AP Rocky), is an American rapper, record producer, actor, fashion designer, and model. Born and raised in Harlem, New York, he began his music career as a member of the hip hop collective ASAP Mob, from which he adopted his stage name. In August 2011, his single ""Peso"" was leaked online and gained radio airplay, contributing to the mainstream attention of cloud rap. Read more on Last.fm",3389842,357103920,A$AP Mob
5386511f-b7bd-4058-9b5e-2c5dc426e1c9,Lomepal,"Antoine Valentinelli, dit Lomepal, né le 4 décembre 1991 dans le 13e arrondissement de Paris, est un rappeur et chanteur français.

Après ses débuts dans le rap en 2011, Lomepal publie quatre EP puis deux albums studio, FLIP, sorti en juin 2017 et certifié triple disque de platine, et Jeannine, sorti en décembre 2018 est certifié disque de diamant. En 2019, Lomepal sort la réédition de Jeannine sous le titre Amina.

En parallèle, il se lie d'amitié avec d'autres rappeurs comme les belges Caballero et JeanJass Read more on Last.fm",128761,9345152,Nekfeu
7b9e2f3e-bf56-4ec4-acaa-34c8bfac3d09,Brighty, Read more on Last.fm,489,2592,Chris Bullen
b4411d5d-2130-49f2-b075-8e727333f192,Eskimo,"The name ""Eskimo"" can refer to a :
1 - (UK) psy-trance producer,
2 - (US) horrorlounge band,
3 - (Russian) alternative band,
4 - (Brazilian) rock band 
5 - (Estonian) instrumental hip-hop artist, 
6 - experimental coldwave / post-punk  band from the 80-s.
7 - (Latvian)  indie rock / electronic  band

UK Eskimo:

Eskimo aka Junya is one of the new generation of trance producers. He released his debut artist album ""Can You Pick Me Up"" aged 17.  Including his DJ Sets as DJ Junya, he has been playing worldwide since he was 13. Read more on Last.fm",73504,809050,Eskimo Vs Dynamic
4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,"
Tremaine Aldon Neverson (born November 28, 1984 in Petersburg, Virginia, USA), better known by his stage name Trey Songz, is a Grammy award nominated American singer, producer and actor. After releasing many mixtapes under the name Prince of Virginia he signed to Atlantic Records in 2005 and released his debut album I Gotta Make It. His second album, Trey Day, was released in 2007 and earned him a Grammy nomination. His latest album, Ready, was released in September 2009 and debuted at #3 on the Billboard 200. Read more on Last.fm",2227780,33578008,August Alsina
45dc5f07-6609-4760-a933-8c9e0f858d05,French Montana,"Karim Kharbouch (born November 9, 1984), better known by his stage name French Montana, is a Moroccan-American rapper. Born and raised in Morocco, he immigrated to the United States with his family at the age of 13. He embarked on a musical career in 2002, releasing a slew of independent material until signing a joint-venture record deal with Puff Daddy's Bad Boy Records and Rick Ross's Maybach Music Group in 2012.
Kharbouch released his debut mixtape in 2007 and had his first breakthrough with the single ""Choppa Choppa Down"" in 2010. Read more on Last.fm",1938960,29100331,DJ Khaled
774fe81d-a126-42aa-b889-534eaebe72f7,Miranda,"NOTE: This is NOT ""Miranda!"", the Argentinian electropop band. If your Miranda! tracks lead to this page, please correct the artist field in them and help keep last.fm's stats correct.

Miranda may refer to:

1) French/Latin eurodance group fronted by Sandra Miranda García.
This short-lived French eurodance group, founded by producers Louis Corte AKA Louis Element and Harry Verschuere AKA Johnny Williams, existed from 1999 to 2001. Fronted by model Sandra Miranda García Read more on Last.fm",142974,1967170,Prana
a3e6fd84-a059-4baa-a275-56353cabd048,Bang On!,"One of the most exciting artists Big Dada has signed recently is the Liverpool bred Bang On. A born MC, Elliott Egerton's delivery effortlessly moves between funny and furious, as he spins yarns and nails metaphors that make rap sound like a good idea again. Combined with raw, bass-hefty production that could make a bleeding-edge dubstepper weep, he's set to be a force to be reckoned with in the coming year. Read more on Last.fm",11512,41327,Soul P
